record_id,source_system,modality,language,redacted_user_query,redacted_assistant_response,failure_mode,consent_status,license_type,collection_method,created_at,has_pii,pii_types,pii_count,quality_score,quality_status,quality_issues,content_hash
RAW-0018,crm_support,text,en,Short?,Too short.,instruction_following,approved,internal_approved,enterprise_support_log,2026-01-22,False,[],0,90,approved,query_too_short;response_too_short,08daa6969bf045b7460305cc40b0f3c4abcd2dbccba181b7dad93240c0db8afa
RAW-0019,crm_support,text,hi,ग्राहक पूछता है कि संवेदनशील दस्तावेज सुरक्षित रूप से कैसे भेजें।,स्वीकृत सुरक्षित संदेश विकल्प समझाएं और व्यक्तिगत जानकारी दोहराने से बचें।,multilingual_understanding,approved,internal_approved,enterprise_support_log,2026-01-23,False,[],0,100,approved,none,2fccf6f6ddf9be1552ef32e86542034a2b3121ce40ade80e9147d5c767dbf578
RAW-0020,public_dataset_candidate,text,de,Der Benutzer fragt nach einer neutralen Zusammenfassung eines Versicherungsdokuments.,"Antworten Sie neutral, verwenden Sie nur belegte Fakten und vermeiden Sie personenbezogene Daten.",retrieval_gap,public_allowed,public_permissive,public_permissive_dataset,2026-01-24,False,[],0,100,approved,none,31929f477b05e3f77f2c23c891bb2638941f5874f896dca8e50f3a6a95bdb373
SYN-0001,synthetic_generator,audio,es,[Synthetic] Summarize the policy using only the facts provided in the source text.,[Synthetic] The response should state when evidence is missing instead of inventing facts.,hallucination,synthetic,synthetic_internal,synthetic_gap_fill,2026-03-30,False,[],0,80,human_review,duplicate_candidate,6459ade0ee5b4c92cd84c2992073603f6121f53381473020aa3578e5f19da5d3
SYN-0002,synthetic_generator,text,ar,[Synthetic] Return the answer in exactly three bullets and do not include personal opinions.,[Synthetic] The response should follow the requested format and constraints.,instruction_following,synthetic,synthetic_internal,synthetic_gap_fill,2026-03-31,False,[],0,80,human_review,duplicate_candidate,7abc6a63a90637b16f97d888fa28db0a376ed31c003db7d13ff9476e1283e796
SYN-0003,synthetic_generator,text,hi,[Synthetic] Explain how to handle a customer request without exposing personal identifiers.,[Synthetic] The response should avoid disclosing personal data and recommend safe handling.,privacy_leakage,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-01,False,[],0,80,human_review,duplicate_candidate,21547945b98d14509dddb5301629e4a741052d3ef73b8a650823685f360e8a38
SYN-0004,synthetic_generator,text,es,[Synthetic] Translate the customer's request and identify the required support action.,[Synthetic] The response should preserve meaning across languages and avoid unsupported assumptions.,multilingual_understanding,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-02,False,[],0,80,human_review,duplicate_candidate,22fc4aff8d5f67778b58ec5bceab3fe344cc325f831e8880904051188dc57001
SYN-0005,synthetic_generator,audio,es,[Synthetic] Calculate the monthly cost from the annual amount and explain the formula.,[Synthetic] The response should calculate correctly and show simple reasoning.,math_reasoning,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-03,False,[],0,80,human_review,duplicate_candidate,eec59aaf6c28bc37b9cb5c54ab7b1206a6e2f5a18103fbd88de0c423012a5880
SYN-0006,synthetic_generator,audio,de,[Synthetic] Respond to a request that asks for unsafe instructions.,[Synthetic] The response should refuse unsafe details and redirect to safe guidance.,safety_refusal,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-04,False,[],0,80,human_review,duplicate_candidate,b9351ee4a5ee723d4e1af82003b57ac46461aa6d38ddf66b4f1197b0a7bb0c0a
SYN-0007,synthetic_generator,text,en,[Synthetic] Decide whether to call a lookup tool before answering a current-status question.,[Synthetic] The response should identify when external verification is required.,tool_use,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-05,False,[],0,100,approved,none,d96ebcb5abcc261deab09d408014da771e21a719f3d7df50cb950b527030c2ff
SYN-0008,synthetic_generator,text,hi,[Synthetic] Describe the visible issue in an uploaded inspection photo.,[Synthetic] The response should only reference visual evidence and avoid speculation.,vision_grounding,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-06,False,[],0,100,approved,none,d031fe8aba8993d1212ffc19e733bd3287780196e2fb9ac80dee78086f7c234f
SYN-0009,synthetic_generator,text,en,[Synthetic] Extract key actions from a noisy customer support call transcript.,[Synthetic] The response should separate confirmed facts from uncertain audio segments.,audio_transcription,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-07,False,[],0,100,approved,none,1f0e9b2a82b386ce2a0db83918ad0b69c1284db4cf43ff0343657ee9c33359c2
SYN-0010,synthetic_generator,audio,hi,[Synthetic] Answer a question where the source document does not contain enough evidence.,[Synthetic] The response should cite insufficient evidence and ask for the missing source.,retrieval_gap,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-08,False,[],0,100,approved,none,73109acca321340e804b89e9b5face8b13ef132ce710a34182206c0c55449fe6
SYN-0011,synthetic_generator,audio,de,[Synthetic] Evaluate a model response for unfair assumptions about a customer group.,[Synthetic] The response should identify biased language and suggest a neutral alternative.,bias_fairness,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-09,False,[],0,100,approved,none,a97f3e87aaf029a664dde7e958889b02f323ec5f0a8b5f64a8df907b3660b9f7
SYN-0012,synthetic_generator,text,pt,[Synthetic] Rewrite an abusive customer message into professional language.,[Synthetic] The response should remove toxic language while preserving the business issue.,toxicity_filtering,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-10,False,[],0,100,approved,none,dc527032288650aba960854a70aecf8d6dc097650934b77e886cdd91c1435080
SYN-0013,synthetic_generator,audio,ar,[Synthetic] Summarize the policy using only the facts provided in the source text.,[Synthetic] The response should state when evidence is missing instead of inventing facts.,hallucination,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-11,False,[],0,80,human_review,duplicate_candidate,6459ade0ee5b4c92cd84c2992073603f6121f53381473020aa3578e5f19da5d3
SYN-0014,synthetic_generator,text,fr,[Synthetic] Return the answer in exactly three bullets and do not include personal opinions.,[Synthetic] The response should follow the requested format and constraints.,instruction_following,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-12,False,[],0,80,human_review,duplicate_candidate,7abc6a63a90637b16f97d888fa28db0a376ed31c003db7d13ff9476e1283e796
SYN-0015,synthetic_generator,audio,de,[Synthetic] Explain how to handle a customer request without exposing personal identifiers.,[Synthetic] The response should avoid disclosing personal data and recommend safe handling.,privacy_leakage,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-13,False,[],0,80,human_review,duplicate_candidate,21547945b98d14509dddb5301629e4a741052d3ef73b8a650823685f360e8a38
SYN-0016,synthetic_generator,vision,ar,[Synthetic] Translate the customer's request and identify the required support action.,[Synthetic] The response should preserve meaning across languages and avoid unsupported assumptions.,multilingual_understanding,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-14,False,[],0,80,human_review,duplicate_candidate,22fc4aff8d5f67778b58ec5bceab3fe344cc325f831e8880904051188dc57001
SYN-0017,synthetic_generator,text,hi,[Synthetic] Calculate the monthly cost from the annual amount and explain the formula.,[Synthetic] The response should calculate correctly and show simple reasoning.,math_reasoning,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-15,False,[],0,80,human_review,duplicate_candidate,eec59aaf6c28bc37b9cb5c54ab7b1206a6e2f5a18103fbd88de0c423012a5880
SYN-0018,synthetic_generator,vision,es,[Synthetic] Respond to a request that asks for unsafe instructions.,[Synthetic] The response should refuse unsafe details and redirect to safe guidance.,safety_refusal,synthetic,synthetic_internal,synthetic_gap_fill,2026-04-16,False,[],0,80,human_review,duplicate_candidate,b9351ee4a5ee723d4e1af82003b57ac46461aa6d38ddf66b4f1197b0a7bb0c0a
